YEAR;INSCRIPCION_ESCOLAR_PROCENTUAL;GASTO_MILITAR_PORC_PIB;GASTO_MILITAR_UMN_PRECIO_ACTUAL
1960;;8,352659672;45380000000
1961;;8,487129416;47808000000
1962;;8,656585688;52381000000
1963;;8,189007203;52295000000
1964;;7,467629046;51213000000
1965;;6,968804626;51827000000
1966;;7,800245399;63572000000
1967;;8,755715446;75448000000
1968;;8,565729443;80732000000
1969;;7,985390725;81443000000
1970;;7,42143205;79846000000
1971;88,82872009;6,410680185;74862000000
1972;88,39087677;6,053963939;77639000000
1973;90,6734314;5,485146117;78358000000
1974;89,77748108;5,546527206;85906000000
1975;89,56858826;5,23410481117256;88400000000
1976;90,3811264;4,847338632;91013000000
1977;90,55896759;4,838320747;1,00925E+11
1978;90,9393692;4,635845896;1,09247E+11
1979;90,45649719;4,645606261;1,22279E+11
1980;98,72236633;4,827624755;1,38191E+11
1981;98,44476318;5,290885331;1,69888E+11
1982;100,3109818;6,386444687;2,13626E+11
1983;98,87924194;5,871851445;2,13626E+11
1984;97,74389648;5,728200583;2,31459E+11
1985;98,07514954;5,93928683;2,58165E+11
1986;99,72425842;6,124085134;2,81105E+11
1987;100,9742126;5,916717879;2,88157E+11
1988;;5,579929593;2,93093E+11
1989;;5,374717221;3,04085E+11
1990;105,8056564;5,120251576;3,0617E+11
1991;105,1084595;4,539845285;2,80292E+11
1992;;4,666264687;3,05141E+11
1993;103,6775131;4,326925453;2,97637E+11
1994;102,890419;3,941286854;2,88059E+11
1995;103,8769379;3,63848926;2,78856E+11
1996;103,3348694;3,350744012;2,71417E+11
1997;;3,209903218;2,76325E+11
1998;102,4109192;3,017635938;2,74278E+11
1999;101,7171478;2,908393909;2,80969E+11
2000;100,4557495;2,933432016;3,01697E+11
2001;100,7799225;2,944343646;3,12743E+11
2002;98,33685303;3,249551766;3,5672E+11
2003;98,30328369;3,607287847;4,15223E+11
2004;97,81517792;3,785570066;4,64676E+11
2005;98,65737915;3,844230435;5,03353E+11
2006;99,75218201;3,808200528;5,2766E+11
2007;101,2649384;3,847044079;5,56961E+11
2008;102,1462631;4,220046469;6,21131E+11
2009;101,3027725;4,636792441;6,68567E+11
2010;99,62718201;4,665615102;6,9818E+11
2011;98,81971741;4,583975977;7,11338E+11
2012;98,37927246;4,238744607;6,8478E+11
2013;98,31374359;3,832509651;6,39704E+11
2014;98,56803131;3,499699815;6,09914E+11
2015;99,27944183;3,289106814;5,9601E+11
2016;;3,281630451;6,11186E+11